"","year","a_council","N","Internationale_Politik","Sicherheitspolitik","Europapolitik","Wirtschaft","Beschäftigung_Arbeit","Landwirtschaft","Finanzwesen","Steuer","Soziale_Fragen","Migration","Sozialer_Schutz","Gesundheit","Raumplanung_Wohnungswesen","Kultur","Bildung","Wissenschaft_Forschung","Medien_Kommunikation","Verkehr","Umwelt","Energie","Staatspolitik","Parlament","Recht_allgemein","Zivilrecht","Strafrecht","Gerichtswesen","Internationales_Recht","Menschenrechte"
"68","2012","Nationalrat",1852,5.83153347732181,4.48164146868251,1.18790496760259,12.9049676025918,0.323974082073434,5.83153347732181,15.4967602591793,0.377969762419006,8.36933045356371,5.77753779697624,0.377969762419006,15.0647948164147,3.40172786177106,2.42980561555076,2.86177105831533,1.02591792656587,3.88768898488121,8.26133909287257,6.96544276457883,7.18142548596112,7.39740820734341,1.29589632829374,8.26133909287257,0.809935205183585,0.377969762419006,0.0539956803455724,0.539956803455723,0.377969762419006
"69","2012","Ständerat",187,2.67379679144385,3.20855614973262,2.13903743315508,14.9732620320856,0,2.67379679144385,16.5775401069519,0,4.81283422459893,1.60427807486631,0,13.3689839572193,2.67379679144385,2.13903743315508,4.27807486631016,1.06951871657754,6.95187165775401,13.3689839572193,5.88235294117647,7.48663101604278,11.7647058823529,4.27807486631016,14.4385026737968,0,0,0,0,0
"70","2012","Bundesrat",84,10.7142857142857,10.7142857142857,4.76190476190476,5.95238095238095,0,2.38095238095238,29.7619047619048,0,3.57142857142857,2.38095238095238,0,7.14285714285714,0,1.19047619047619,3.57142857142857,1.19047619047619,0,5.95238095238095,4.76190476190476,1.19047619047619,9.52380952380952,2.38095238095238,11.9047619047619,0,0,0,0,0
"71","2012","Volksinitiative",10,0,10,0,20,0,0,20,0,10,10,0,10,0,0,10,0,0,10,0,10,10,10,10,0,0,0,0,0
"72","2013","Nationalrat",1940,8.29896907216495,9.07216494845361,2.2680412371134,16.2371134020619,0.56701030927835,4.58762886597938,13.2474226804124,1.03092783505155,10.2061855670103,4.5360824742268,0.876288659793814,10.5154639175258,2.98969072164948,2.98969072164948,3.29896907216495,1.70103092783505,6.34020618556701,8.8659793814433,6.80412371134021,7.06185567010309,9.27835051546392,1.34020618556701,9.58762886597938,0.206185567010309,0.360824742268041,0,0.824742268041237,0.56701030927835
"73","2013","Ständerat",182,3.2967032967033,4.3956043956044,3.84615384615385,12.0879120879121,0,2.74725274725275,13.7362637362637,0,13.1868131868132,0.549450549450549,0,11.5384615384615,1.0989010989011,4.94505494505495,2.1978021978022,0.549450549450549,5.49450549450549,12.0879120879121,3.84615384615385,4.3956043956044,12.6373626373626,6.04395604395604,10.989010989011,0,0,0,0,0
"74","2013","Bundesrat",86,6.97674418604651,10.4651162790698,6.97674418604651,8.13953488372093,0,1.16279069767442,22.093023255814,0,4.65116279069767,3.48837209302326,0,5.81395348837209,0,1.16279069767442,8.13953488372093,2.32558139534884,2.32558139534884,8.13953488372093,3.48837209302326,1.16279069767442,8.13953488372093,1.16279069767442,12.7906976744186,0,0,0,0,0
"75","2013","Volksinitiative",11,0,0,0,9.09090909090909,0,0,54.5454545454545,0,18.1818181818182,18.1818181818182,0,9.09090909090909,0,0,0,0,0,0,0,18.1818181818182,0,0,0,0,0,0,0,0
"76","2014","Nationalrat",1994,11.1334002006018,8.6258776328987,7.37211634904714,16.3991975927783,4.21263791374122,5.31594784353059,12.086258776329,3.76128385155466,8.82647943831494,8.77632898696088,3.41023069207623,13.7913741223671,3.25977933801404,3.96188565697091,5.86760280842528,3.10932798395186,6.06820461384152,9.62888665997994,10.0802407221665,6.51955867602808,11.8856569709127,2.00601805416249,3.91173520561685,2.70812437311936,2.35707121364092,0.401203610832498,1.00300902708124,2.80842527582748
"77","2014","Ständerat",185,8.10810810810811,6.48648648648649,6.48648648648649,18.9189189189189,3.78378378378378,3.24324324324324,13.5135135135135,4.32432432432432,6.48648648648649,3.78378378378378,3.24324324324324,12.4324324324324,3.24324324324324,7.56756756756757,5.40540540540541,2.16216216216216,7.56756756756757,12.4324324324324,7.56756756756757,2.16216216216216,16.7567567567568,4.32432432432432,7.56756756756757,1.62162162162162,1.08108108108108,1.08108108108108,2.16216216216216,1.62162162162162
